codigo,salon,nombres,apellidos,email_login,password
EST-2026-0121,2° A,Thiago,Acosta Aguilar,thiago.acosta4857@blenkir.edu.pe,mbappe29
EST-2026-0032,1° B,Julio,Acosta Chávez,julio.acosta6777@blenkir.edu.pe,mbappe29
EST-2026-0010,1° A,Emilia,Acosta Condori,emilia.acosta2478@blenkir.edu.pe,mbappe29
EST-2026-0013,1° A,Angela,Acosta Delgado,angela.acosta2527@blenkir.edu.pe,mbappe29
EST-2026-0428,4° C,Rodrigo,Acosta Delgado,rodrigo.acosta3221@blenkir.edu.pe,mbappe29
EST-2026-0019,1° A,Luciana,Acosta Díaz,luciana.acosta0229@blenkir.edu.pe,mbappe29
EST-2026-0347,3° D,Emilio,Acosta Flores,emilio.acosta8116@blenkir.edu.pe,mbappe29
EST-2026-0449,4° C,Paola,Acosta García,paola.acosta2632@blenkir.edu.pe,mbappe29
EST-2026-0638,6° C,Roxana,Acosta López,roxana.acosta3336@blenkir.edu.pe,mbappe29
EST-2026-0404,4° B,Ruth,Acosta Ortiz,ruth.acosta6754@blenkir.edu.pe,mbappe29
EST-2026-0050,1° B,Emilio,Acosta Palomino,emilio.acosta9269@blenkir.edu.pe,mbappe29
EST-2026-0104,1° D,Gladys,Acosta Paredes,gladys.acosta7883@blenkir.edu.pe,mbappe29
EST-2026-0070,1° C,Julio,Acosta Ramírez,julio.acosta1067@blenkir.edu.pe,mbappe29
EST-2026-0401,4° B,Raúl,Acosta Ríos,raul.acosta4873@blenkir.edu.pe,mbappe29
EST-2026-0512,5° B,Rodrigo,Acosta Rojas,rodrigo.acosta8923@blenkir.edu.pe,mbappe29
EST-2026-0059,1° B,Eduardo,Acosta Salazar,eduardo.acosta7535@blenkir.edu.pe,mbappe29
EST-2026-0516,5° B,Adrián,Aguilar Acosta,adrian.aguilar7206@blenkir.edu.pe,mbappe29
EST-2026-0480,4° D,Daniel,Aguilar Delgado,daniel.aguilar7314@blenkir.edu.pe,mbappe29
EST-2026-0601,6° B,Antonella,Aguilar Delgado,antonella.aguilar5313@blenkir.edu.pe,mbappe29
EST-2026-0468,4° D,Gladys,Aguilar Díaz,gladys.aguilar0647@blenkir.edu.pe,mbappe29
EST-2026-0295,3° B,Angela,Aguilar Díaz,angela.aguilar7810@blenkir.edu.pe,mbappe29
EST-2026-0158,2° B,Adrián,Aguilar Espinoza,adrian.aguilar0085@blenkir.edu.pe,mbappe29
EST-2026-0579,6° A,Sofía,Aguilar Mendoza,sofia.aguilar5111@blenkir.edu.pe,mbappe29
EST-2026-0159,2° B,César,Aguilar Navarro,cesar.aguilar9220@blenkir.edu.pe,mbappe29
EST-2026-0048,1° B,Mateo,Aguilar Pérez,mateo.aguilar0107@blenkir.edu.pe,mbappe29
EST-2026-0193,2° C,Óscar,Aguilar Pérez,oscar.aguilar9003@blenkir.edu.pe,mbappe29
EST-2026-0526,5° B,Sofía,Aguilar Reyes,sofia.aguilar5332@blenkir.edu.pe,mbappe29
EST-2026-0599,6° A,Eduardo,Aguilar Reyes,eduardo.aguilar9400@blenkir.edu.pe,mbappe29
EST-2026-0317,3° C,Emilio,Aguilar Rojas,emilio.aguilar4823@blenkir.edu.pe,mbappe29
EST-2026-0413,4° B,Fiorella,Aguilar Salazar,fiorella.aguilar4561@blenkir.edu.pe,mbappe29
EST-2026-0509,5° A,Mateo,Aguilar Torres,mateo.aguilar7367@blenkir.edu.pe,mbappe29
EST-2026-0587,6° A,Patricia,Cáceres Acosta,patricia.caceres0376@blenkir.edu.pe,mbappe29
EST-2026-0501,5° A,Camila,Cáceres Cruz,camila.caceres3153@blenkir.edu.pe,mbappe29
EST-2026-0411,4° B,Daniel,Cáceres Delgado,daniel.caceres6098@blenkir.edu.pe,mbappe29
EST-2026-0304,3° C,Raúl,Cáceres Díaz,raul.caceres6020@blenkir.edu.pe,mbappe29
EST-2026-0177,2° B,Mateo,Cáceres Díaz,mateo.caceres8486@blenkir.edu.pe,mbappe29
EST-2026-0278,3° B,Emilia,Cáceres Espinoza,emilia.caceres5959@blenkir.edu.pe,mbappe29
EST-2026-0595,6° A,Andrés,Cáceres Mendoza,andres.caceres5510@blenkir.edu.pe,mbappe29
EST-2026-0634,6° C,Héctor,Cáceres Mendoza,hector.caceres6332@blenkir.edu.pe,mbappe29
EST-2026-0473,4° D,Alejandro,Cáceres Morales,alejandro.caceres3423@blenkir.edu.pe,mbappe29
EST-2026-0530,5° B,Gladys,Cáceres Navarro,gladys.caceres4222@blenkir.edu.pe,mbappe29
EST-2026-0162,2° B,Nicole,Cáceres Palomino,nicole.caceres8607@blenkir.edu.pe,mbappe29
EST-2026-0506,5° A,Gabriel,Cáceres Reyes,gabriel.caceres0442@blenkir.edu.pe,mbappe29
EST-2026-0376,4° A,Rosa,Cáceres Ríos,rosa.caceres8185@blenkir.edu.pe,mbappe29
EST-2026-0527,5° B,Julio,Cáceres Rivera,julio.caceres8298@blenkir.edu.pe,mbappe29
EST-2026-0233,2° D,Mía,Cáceres Vega,mia.caceres9715@blenkir.edu.pe,mbappe29
EST-2026-0206,2° C,Emilio,Cáceres Vega,emilio.caceres5827@blenkir.edu.pe,mbappe29
