codigo,salon,nombres,apellidos,email_login,password,cuenta_activa
EST-2026-0001,1° A,Mateo,Quispe Flores,mateo.quispe0001@blenkir.edu.pe,mbappe29,si
EST-2026-0002,1° A,Valentina,Quispe Flores,valentina.quispe0002@blenkir.edu.pe,mbappe29,si
EST-2026-0003,1° A,Santiago,Quispe Flores,santiago.quispe0003@blenkir.edu.pe,mbappe29,si
EST-2026-0004,1° A,Luciana,Quispe Flores,luciana.quispe0004@blenkir.edu.pe,mbappe29,si
EST-2026-0005,1° A,Sebastián,Quispe Flores,sebastian.quispe0005@blenkir.edu.pe,mbappe29,si
EST-2026-0006,1° A,Camila,Quispe Flores,camila.quispe0006@blenkir.edu.pe,mbappe29,si
EST-2026-0007,1° A,Diego,Quispe Flores,diego.quispe0007@blenkir.edu.pe,mbappe29,si
EST-2026-0008,1° A,Isabella,Quispe Flores,isabella.quispe0008@blenkir.edu.pe,mbappe29,si
EST-2026-0009,1° A,Alejandro,Quispe Flores,alejandro.quispe0009@blenkir.edu.pe,mbappe29,si
EST-2026-0010,1° A,Sofía,Quispe Flores,sofia.quispe0010@blenkir.edu.pe,mbappe29,si
EST-2026-0011,1° A,Daniel,Quispe Flores,daniel.quispe0011@blenkir.edu.pe,mbappe29,si
EST-2026-0012,1° A,Mariana,Quispe Flores,mariana.quispe0012@blenkir.edu.pe,mbappe29,si
EST-2026-0013,1° A,Andrés,Quispe Flores,andres.quispe0013@blenkir.edu.pe,mbappe29,si
EST-2026-0014,1° A,Emilia,Quispe Flores,emilia.quispe0014@blenkir.edu.pe,mbappe29,si
EST-2026-0015,1° A,Gabriel,Quispe Flores,gabriel.quispe0015@blenkir.edu.pe,mbappe29,si
EST-2026-0016,1° A,Victoria,Quispe Flores,victoria.quispe0016@blenkir.edu.pe,mbappe29,si
EST-2026-0017,1° A,Renato,Quispe Flores,renato.quispe0017@blenkir.edu.pe,mbappe29,si
EST-2026-0018,1° A,Fiorella,Quispe Flores,fiorella.quispe0018@blenkir.edu.pe,mbappe29,si
EST-2026-0019,1° A,Bruno,Quispe Flores,bruno.quispe0019@blenkir.edu.pe,mbappe29,si
EST-2026-0020,1° A,Ariana,Quispe Flores,ariana.quispe0020@blenkir.edu.pe,mbappe29,si
EST-2026-0021,1° A,Joaquín,Quispe Flores,joaquin.quispe0021@blenkir.edu.pe,mbappe29,si
EST-2026-0022,1° A,Mía,Quispe Flores,mia.quispe0022@blenkir.edu.pe,mbappe29,si
EST-2026-0023,1° A,Thiago,Quispe Flores,thiago.quispe0023@blenkir.edu.pe,mbappe29,si
EST-2026-0024,1° A,Antonella,Quispe Flores,antonella.quispe0024@blenkir.edu.pe,mbappe29,si
EST-2026-0025,1° A,Ian,Quispe Flores,ian.quispe0025@blenkir.edu.pe,mbappe29,si
EST-2026-0026,1° A,Lucía,Quispe Flores,lucia.quispe0026@blenkir.edu.pe,mbappe29,si
