codigo,tipo,nombres,apellidos,email_login,password,especialidad
DOC-022,Polidocencia 3°-6°,Alejandro,Cordero Sánchez,pro50920828@blenkir.edu.pe,mbappe29,Álgebra
DOC-001,Tutor 1°-2°,Miguel,Díaz Rivera,pro74711492@blenkir.edu.pe,mbappe29,Tutor de aula — 1° A
DOC-002,Tutor 1°-2°,Adrián,Espinoza Morales,pro53099630@blenkir.edu.pe,mbappe29,Tutor de aula — 1° B
DOC-006,Tutor 1°-2°,Alejandro,García Ramírez,pro73702680@blenkir.edu.pe,mbappe29,Tutor de aula — 2° B
DOC-016,Polidocencia 3°-6°,Carmen,Gutiérrez Espinoza,pro75649178@blenkir.edu.pe,mbappe29,Religión
DOC-011,Polidocencia 3°-6°,Rodrigo,Gutiérrez Huamán,pro75000572@blenkir.edu.pe,mbappe29,Ciencias
DOC-012,Polidocencia 3°-6°,Paola,Gutiérrez Navarro,pro52615389@blenkir.edu.pe,mbappe29,Ciencias Sociales
DOC-015,Polidocencia 3°-6°,Joaquín,Gutiérrez Ramírez,pro49369116@blenkir.edu.pe,mbappe29,Lenguaje
DOC-005,Tutor 1°-2°,Felipe,Huamán Silva,pro69698028@blenkir.edu.pe,mbappe29,Tutor de aula — 2° A
DOC-013,Polidocencia 3°-6°,Héctor,López Chávez,pro41344990@blenkir.edu.pe,mbappe29,Educación Física
DOC-018,Polidocencia 3°-6°,Diego,Mamani Cruz,pro48018214@blenkir.edu.pe,mbappe29,Geografía
DOC-010,Polidocencia 3°-6°,Fiorella,Mamani Sánchez,pro55917275@blenkir.edu.pe,mbappe29,Comunicación
DOC-019,Polidocencia 3°-6°,Adrián,Mendoza Mamani,pro51445545@blenkir.edu.pe,mbappe29,Historia
DOC-021,Polidocencia 3°-6°,Gabriel,Morales Paredes,pro57294399@blenkir.edu.pe,mbappe29,Geometría
DOC-004,Tutor 1°-2°,Gladys,Ortiz Ramírez,pro61034283@blenkir.edu.pe,mbappe29,Tutor de aula — 1° D
DOC-003,Tutor 1°-2°,Paola,Palomino Ortiz,pro49261937@blenkir.edu.pe,mbappe29,Tutor de aula — 1° C
DOC-023,Polidocencia 3°-6°,Julio,Paredes Vásquez,pro64329987@blenkir.edu.pe,mbappe29,Arte
DOC-017,Polidocencia 3°-6°,Óscar,Reyes Ríos,pro57792674@blenkir.edu.pe,mbappe29,Taller
DOC-008,Tutor 1°-2°,Bruno,Ríos Huamán,pro43534860@blenkir.edu.pe,mbappe29,Tutor de aula — 2° D
DOC-007,Tutor 1°-2°,Julio,Rojas Palomino,pro69153736@blenkir.edu.pe,mbappe29,Tutor de aula — 2° C
DOC-020,Polidocencia 3°-6°,Andrés,Sánchez Mendoza,pro47438496@blenkir.edu.pe,mbappe29,Razonamiento
DOC-009,Polidocencia 3°-6°,Paola,Vásquez Silva,pro51912023@blenkir.edu.pe,mbappe29,Inglés
DOC-014,Polidocencia 3°-6°,Joaquín,Vega Ríos,pro46406644@blenkir.edu.pe,mbappe29,Matemática
