codigo,tipo,nombres,apellidos,email_login,password,especialidad,cuenta_activa
DOC-001,Tutor 1°-2°,Rosa,Paredes Silva,pro50000001@blenkir.edu.pe,mbappe29,Tutor de aula — 1° A,si
DOC-002,Tutor 1°-2°,Mateo,Silva Herrera,pro50000002@blenkir.edu.pe,mbappe29,Tutor de aula — 1° B,si
DOC-003,Tutor 1°-2°,Valentina,Silva Herrera,pro50000003@blenkir.edu.pe,mbappe29,Tutor de aula — 1° C,si
DOC-004,Tutor 1°-2°,Santiago,Silva Herrera,pro50000004@blenkir.edu.pe,mbappe29,Tutor de aula — 1° D,si
DOC-005,Tutor 1°-2°,Luciana,Silva Herrera,pro50000005@blenkir.edu.pe,mbappe29,Tutor de aula — 2° A,si
DOC-006,Tutor 1°-2°,Sebastián,Silva Herrera,pro50000006@blenkir.edu.pe,mbappe29,Tutor de aula — 2° B,si
DOC-007,Tutor 1°-2°,Camila,Silva Herrera,pro50000007@blenkir.edu.pe,mbappe29,Tutor de aula — 2° C,si
DOC-008,Tutor 1°-2°,Diego,Silva Herrera,pro50000008@blenkir.edu.pe,mbappe29,Tutor de aula — 2° D,si
DOC-009,Polidocencia 3°-6°,Isabella,Silva Herrera,pro50000009@blenkir.edu.pe,mbappe29,Inglés,si
DOC-010,Polidocencia 3°-6°,Alejandro,Silva Herrera,pro50000010@blenkir.edu.pe,mbappe29,Comunicación,si
DOC-011,Polidocencia 3°-6°,Sofía,Silva Herrera,pro50000011@blenkir.edu.pe,mbappe29,Ciencias,si
DOC-012,Polidocencia 3°-6°,Daniel,Silva Herrera,pro50000012@blenkir.edu.pe,mbappe29,Ciencias Sociales,si
DOC-013,Polidocencia 3°-6°,Mariana,Silva Herrera,pro50000013@blenkir.edu.pe,mbappe29,Educación Física,si
DOC-014,Polidocencia 3°-6°,Andrés,Silva Herrera,pro50000014@blenkir.edu.pe,mbappe29,Matemática,si
DOC-015,Polidocencia 3°-6°,Emilia,Silva Herrera,pro50000015@blenkir.edu.pe,mbappe29,Lenguaje,si
DOC-016,Polidocencia 3°-6°,Gabriel,Silva Herrera,pro50000016@blenkir.edu.pe,mbappe29,Religión,si
DOC-017,Polidocencia 3°-6°,Victoria,Silva Herrera,pro50000017@blenkir.edu.pe,mbappe29,Taller,si
DOC-018,Polidocencia 3°-6°,Renato,Silva Herrera,pro50000018@blenkir.edu.pe,mbappe29,Geografía,si
DOC-019,Polidocencia 3°-6°,Fiorella,Silva Herrera,pro50000019@blenkir.edu.pe,mbappe29,Historia,si
DOC-020,Polidocencia 3°-6°,Bruno,Silva Herrera,pro50000020@blenkir.edu.pe,mbappe29,Razonamiento,si
DOC-021,Polidocencia 3°-6°,Ariana,Silva Herrera,pro50000021@blenkir.edu.pe,mbappe29,Geometría,si
DOC-022,Polidocencia 3°-6°,Joaquín,Silva Herrera,pro50000022@blenkir.edu.pe,mbappe29,Álgebra,si
DOC-023,Polidocencia 3°-6°,Mía,Silva Herrera,pro50000023@blenkir.edu.pe,mbappe29,Arte,si
